scenario_id,user_id,scenario,is_malicious,start_date,end_date,description
S0006,SNN2223,M1,1,2026-02-23,2026-02-25,"Subtle M1 compromised account: login from BR within the user's normal hours, 11 files touched over 3 day(s)."
S0008,EFJ1543,M1,1,2026-02-27,2026-03-02,"Obvious M1 compromised account: off-hours login from new country IN, elevated access to DevOps Confidential/Restricted files."
S0014,DVB7286,M1,1,2026-03-06,2026-03-08,"Obvious M1 compromised account: off-hours login from new country GB, elevated access to DevOps Confidential/Restricted files."
S0009,DST2687,M1,1,2026-03-08,2026-03-11,"Subtle M1 compromised account: login from GB within the user's normal hours, 8 files touched over 4 day(s)."
S0007,XWB0313,M1,1,2026-03-10,2026-03-13,"Moderate M1 compromised account: off-hours login from new country DE, elevated access to Engineering Confidential/Restricted files."
S0002,TJX7065,M1,1,2026-03-13,2026-03-13,"Obvious M1 compromised account: off-hours login from new country IN, elevated access to DevOps Confidential/Restricted files."
S0020,GUZ0270,M1,1,2026-03-14,2026-03-16,"Obvious M1 compromised account: off-hours login from new country BR, elevated access to Engineering Confidential/Restricted files."
S0021,QRU5619,M1,1,2026-04-20,2026-04-23,"Subtle M1 compromised account: login from US within the user's normal hours, 9 files touched over 4 day(s)."
S0000,HZA0727,M1,1,2026-04-26,2026-04-27,"Subtle M1 compromised account: login from DE within the user's normal hours, 13 files touched over 2 day(s)."
S0011,BRD9424,M1,1,2026-04-27,2026-04-28,"Obvious M1 compromised account: off-hours login from new country GB, elevated access to DevOps Confidential/Restricted files."
S0012,KHV5264,M1,1,2026-05-05,2026-05-07,"Subtle M1 compromised account: login from US within the user's normal hours, 13 files touched over 3 day(s)."
S0019,NWE6943,M1,1,2026-05-05,2026-05-08,"Moderate M1 compromised account: off-hours login from new country US, elevated access to Support Confidential/Restricted files."
S0013,PEH7036,M1,1,2026-05-08,2026-05-11,"Moderate M1 compromised account: off-hours login from new country BR, elevated access to Sales Confidential/Restricted files."
S0001,JJX7773,M1,1,2026-05-10,2026-05-10,"Moderate M1 compromised account: off-hours login from new country DE, elevated access to Sales Confidential/Restricted files."
S0017,YVK4363,M1,1,2026-05-13,2026-05-14,"Obvious M1 compromised account: off-hours login from new country US, elevated access to Support Confidential/Restricted files."
S0016,HMZ5952,M1,1,2026-05-22,2026-05-22,"Moderate M1 compromised account: off-hours login from new country IN, elevated access to IT Confidential/Restricted files."
S0015,LQL0537,M1,1,2026-05-30,2026-05-31,"Subtle M1 compromised account: login from IN within the user's normal hours, 8 files touched over 2 day(s)."
S0018,KFN4851,M1,1,2026-05-30,2026-06-02,"Subtle M1 compromised account: login from IN within the user's normal hours, 8 files touched over 4 day(s)."
S0010,XFK4688,M1,1,2026-06-06,2026-06-09,"Moderate M1 compromised account: off-hours login from new country GB, elevated access to Engineering Confidential/Restricted files."
